Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date
????????????????????????????????????,????????????????????????,???,?????????,??????,??????,??????,j,??????,12,1,60,0,0,0,11,space,0.533877093,space,0.667056927,space,0.500426116,space,0.700433695,space,0.750366807,space,0.517076408,space,0.483680693,j,1,3.000410129,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????????????????????€?????????????????????,??????????????????????,???,??????,?????????,??????,????????€???,j,??????,12,3,58,0,1,1,17,space,0.383749732,space,0.450398662,space,0.417076368,space,0.433957185,space,0.467198953,space,0.567078598,space,0.650408609,f,0,2.367104572,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
???????????€?????????????????????,???????????€?????????,???,??????,??????,??????,??????,f,?????€,11,2,31,0,2,2,6,space,0.467187111,space,0.417019132,space,0.400255946,space,0.617338156,space,0.533797357,space,0.583692575,space,2.917712483,f,1,1.150525253,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????????????????????????????????????,????????????????????????,???,?????????,??????,??????,??????,j,??????,12,1,58,0,3,3,9,space,0.350563622,space,0.333726226,space,0.450499319,space,0.733724805,space,0.633672265,space,0.533778015,space,0.583837442,j,1,1.466776192,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????????????????????????????????????,???????????????????????????,???,?????????,??????,??????,??????,j,??????,12,1,62,0,4,4,13,space,0.450589319,space,0.600460102,space,0.48362622,space,0.40010121,space,0.56712873,space,0.967304544,space,0.900442063,j,1,5.567252281,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????????????????????????????????€???,?????????????????€??????,???,??????,?????€???,??????,??????,f,??????,12,1,57,0,5,5,8,space,0.383729206,space,0.383593023,space,0.43402429,space,0.700441984,space,1.283904034,space,1.067187742,space,0.866990691,f,1,0.9838376,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????????????????????????????€??????????,??????????????????????,?€?,??????,?????????,?????????,??????,j,??????,13,3,62,0,6,6,21,space,0.933889093,space,0.517087065,space,0.583687838,space,0.567073467,space,0.434005342,space,0.517114697,space,0.467061191,j,1,1.017082921,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,f,??????,11,2,27,0,7,7,2,space,0.667153637,space,0.717107276,space,0.717037408,space,0.650323741,space,0.567087282,space,0.617181841,space,1.000410129,f,1,0.5837581,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
???????€???????????????????????????????,??????????????????????,???,??????,??????,???????€?,??????,f,?????????,13,3,57,0,8,8,16,space,0.633701476,space,0.533742883,space,0.550549095,space,0.53377091,space,0.500405195,space,0.533808015,space,0.800413208,f,1,0.967023888,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
??????????€??????????????????????,??????????€??????????,???,??????,??????,??????,??????,f,????€?,11,2,25,0,9,9,0,space,0.40045726,space,0.383716574,space,0.417195578,space,0.367074572,space,0.817093894,space,0.433705739,space,0.717087539,f,1,0.63379187,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????????????????????????????????????,?????????????????????,???,??????,??????,??????,?????????,j,??????,12,2,32,0,10,10,7,space,0.433807975,space,0.567155572,space,0.450070638,space,0.367148387,space,0.566978731,space,0.433753107,space,2.01732134,j,1,1.583759679,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
?????????????????€??????????????????,???????????€????????????,???,?????????,??????,??????,?????€,f,??????,12,1,61,0,11,11,12,space,0.48381135,space,0.41730334,space,0.383763153,space,0.467094743,space,1.383939205,space,0.500584404,space,0.583737574,j,0,2.950531095,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????????????????????????????????????,????????????????????????,???,??????,?????????,??????,??????,f,??????,12,2,29,0,12,12,4,space,0.45051274,space,0.433716397,space,0.733871646,space,0.900380484,space,0.617108026,space,0.550487911,space,2.116996513,f,1,1.200429155,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
???????????????????????????????????????,??????????????????????,??????,??????,??????,?????????,??????,j,??????,13,3,64,0,13,13,23,space,0.417237814,space,0.383789206,space,0.433717581,space,0.450052875,space,0.850967237,space,0.600125762,space,2.10060122,j,1,2.33374912,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
???????????????????????????????????????,???????????????????,???,??????,??????,?????????,?????????,f,??????,13,3,61,0,14,14,20,space,0.367102993,space,0.400571733,space,0.433752318,space,0.417042816,space,0.450557345,space,0.333798857,space,1.050438372,f,1,1.200446524,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
??????????????????????€?????????????,????????????????????????,???,????€?,?????????,??????,??????,j,??????,12,2,30,0,15,15,5,space,0.383891047,space,0.300398011,space,0.333671358,space,0.300423274,space,0.650536503,space,0.383791969,space,1.050186532,j,1,1.983830495,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
????€??????????????????????????€???????,????€?????????????????,????€?,??????,??????,????€????,???,f,?????????,13,3,63,0,16,16,22,space,0.317074355,space,0.317080276,space,0.250408057,space,0.384082493,space,0.283699561,space,0.300444195,space,0.350428228,f,1,1.300461958,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
?????????????????????????????????,???????????????????,??????,???,??????,??????,?????????,f,???,11,3,59,0,17,17,18,space,0.417155315,space,0.300423668,space,0.367118388,space,0.35044757,space,0.350413228,space,0.467084875,space,0.317071197,f,1,1.066873139,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,26,0,18,18,1,space,0.267114401,space,0.483679904,space,0.500435195,space,0.317182512,space,0.517201933,space,0.417077552,space,2.033382294,j,1,2.733885461,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,28,0,19,19,3,space,0.250259242,space,0.300332485,space,0.250422267,space,0.316770409,space,0.350500069,space,0.483743456,space,1.033719791,j,1,2.350628358,SPR,4,B,,f,59.48769669,1,2017_01_05_1208
