Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date
???????????????????????????????????????,??????????????????????,??????,???,??????,?????????,????????????,f,?????????,13,3,47,0,0,0,22,space,1.617321972,space,0.533620121,space,0.583704022,space,0.500394932,space,0.583797574,space,0.500389011,space,0.600377998,f,1,1.350333491,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
????????????????????????????????????,????????????????????????,???,?????????,??????,??????,??????,j,??????,12,1,44,0,1,1,11,space,0.783721864,space,0.533704989,space,0.417191236,space,0.450448793,space,0.567303202,space,0.55044607,space,0.601185624,j,1,1.950423333,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
????????????????????????????????????,????????????????????????,???,??????,??????,?????????,??????,f,??????,12,2,9,0,2,2,0,space,0.567180045,space,0.483985428,space,0.567572806,space,1.049325616,space,0.734952429,space,0.483674377,space,0.717150302,f,1,0.966996257,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
????????????????????????????????????,????????????????????????,???,?????????,??????,??????,??????,f,??????,12,1,45,0,3,3,12,space,0.35041757,space,0.517058645,space,0.450496161,space,0.333707278,space,0.667041928,space,0.500430458,space,1.083959612,j,0,2.000433024,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,14,0,4,4,5,space,0.517053118,space,0.467143295,space,0.4671729,space,0.467073822,space,0.417056237,space,0.483807798,space,0.733730331,j,1,1.266995586,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,12,0,5,5,3,space,0.467179611,space,0.850452504,space,0.51702825,space,0.417289919,space,0.467101848,space,0.567090835,space,0.53377091,j,1,1.283794298,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
????????????????????????????????????,??????????????????????,??????,???,?????????,??????,??????,j,??????,12,3,46,0,6,6,21,space,0.467109743,space,0.450433793,space,0.350481517,space,0.31705975,space,0.367093519,space,0.367124309,space,0.400347919,j,1,0.950362149,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
???????????????????????????????????????,??????????????????????,??????,?????????,??????,??????,?????????,j,???,13,3,44,0,7,7,19,space,0.333792146,space,0.450473267,space,0.43375666,space,0.467267637,space,0.517066144,space,0.350470859,space,0.333761752,j,1,0.867100032,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
????????????????????????????????????,????????????????????????,???,??????,??????,?????????,??????,f,??????,12,1,41,0,8,8,8,space,0.650608345,space,0.417103999,space,0.350236781,space,0.400505418,space,0.400416208,space,0.500424537,space,0.533840778,f,1,1.367199703,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
???????????€???????????????????????????,???????????€????????????,?????????,???,??????,?????????,??????,j,??€???,13,3,48,0,9,9,23,space,0.417092947,space,0.483696877,space,0.383780916,space,0.367119966,space,0.466795534,space,0.56713623,space,0.517055487,f,1,1.383719338,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
????€???????????????€????????????,????€????????????????,???,??€???,??????,????€?,??????,f,??????,11,2,13,0,10,10,4,space,0.417124526,space,0.650423214,space,0.400425287,space,0.31710396,space,0.983777206,space,0.350369412,space,0.70061922,f,1,1.033723344,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
???????€?????????????????????????,???????€?????????????,???,??????,??????,??????,??????,j,?€????,11,1,42,0,11,11,9,space,0.350453885,space,0.383729601,space,0.583762837,space,0.533764594,space,0.533726699,space,0.450400636,space,1.050430478,j,1,1.282171939,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,10,0,12,12,1,space,0.333817804,space,0.40043555,space,0.500386248,space,0.733705463,space,0.900377327,space,0.616882238,space,0.600455366,j,1,1.317174223,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
??€???????€€????€??€????????????????,??€???????€€????????????,???,?€????,?????????,??€???,????€?,f,????€€,12,1,43,0,13,13,10,space,0.36711523,space,0.467035138,space,0.550476069,space,0.969303085,space,1.16702673,space,0.433785475,space,0.717110828,f,1,0.95047228,SPR,2,B,,f,59.99400853,1,2017_01_04_1723
