Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date
???????????????????????????????????????,???????????????????????????,???,??????,????????????,??????,??????,f,??????,13,2,53,0,0,0,12,space,0.584178493,space,0.633735028,space,0.800391103,space,0.517074829,space,0.933780936,space,0.416887685,space,0.733722041,f,1,2.700410011,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
???????????????????????????????????????,?????????????????????,??????,??????,?????????,??????,??????,f,??????,13,3,17,0,1,1,16,space,0.450403399,space,0.483800298,space,0.600512207,space,0.533761041,space,0.583732837,space,0.467051322,space,1.283784429,f,1,1.550637516,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
????????????????????????????????????,????????????????????????,???,???,?????????,??????,??????,j,?????????,12,3,24,0,2,2,23,space,0.600421418,space,0.467151585,space,0.467075796,space,0.367119966,space,0.416905448,space,0.300388537,space,0.467079743,j,1,4.000573944,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
????????????????????????????€?????€?,?????????????€?????€????,???,??????,?€?????€?,??????,??????,j,??????,12,2,56,0,3,3,15,space,0.350498096,space,2.517063776,space,0.800409261,space,0.517061408,space,0.567166624,space,0.683835903,space,2.583847705,j,1,1.533674989,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
?????????????????€?€?????????????,?????????????????????,???,?€????,??????,??????,?????€,f,??????,11,1,17,0,4,4,0,space,0.418449649,space,0.533655647,space,0.834070631,space,1.100444116,space,1.733525069,space,0.317094486,space,0.383831442,f,1,1.917143276,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
????????????????????????????????????,????????????????????????,???,??????,??????,????????? ,??????,j,??????,12,1,24,0,5,5,7,space,0.399181084,space,2.286488755,space,1.667154427,space,0.883798482,space,0.933852777,space,0.583753758,space,0.667042322,j,1,1.350383228,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
????????????????????????????????????,????????????????????????,???,??????,?????????,??????,??????,f,??????,12,2,55,0,6,6,14,space,0.433713239,space,0.600490102,space,0.517062987,space,0.433747581,space,0.717094644,space,0.367119966,space,3.600511023,f,1,2.100446484,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
????????????????????????????????????,????€????????????????,???,??????,??????,??????,????????????,j,???,12,3,22,0,7,7,21,space,0.45053603,space,0.650418478,space,0.683766824,space,0.683703667,space,0.600119052,space,0.416871896,space,0.36701102,j,1,1.117268091,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
???????????????????????????????????????,???????????????????????????,???,??????,?????????,?????????,??????,f,??????,13,2,49,0,8,8,8,space,0.60047905,space,0.650432293,space,1.200493497,space,0.467045006,space,1.116775067,space,0.367153124,space,0.583764811,f,1,1.550409754,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
????????????????????????????????????,?????????????????????,???,??????,?????????,??????,??????,j,??????,12,2,52,0,9,9,11,space,0.633871212,space,1.017015816,space,1.416858869,space,0.300400379,space,0.433747581,space,0.383765127,space,1.517379958,j,1,2.233893554,SPR,7,A,,m,60.08607277,1,2017_01_05_1404
