Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date
????????????????????????????????????,????????????????????????,???,?????????,??????,??????,??????,j,??????,12,1,46,0,0,0,13,space,0.484035559,space,0.433548635,space,0.466975928,space,0.483754114,space,2.100530957,space,0.433819422,space,1.417157683,j,1,13.16752883,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,f,??????,11,2,15,0,1,1,6,space,0.35043928,space,0.383765916,space,0.683711956,space,1.133606147,space,2.767028941,space,2.31711146,space,0.467067506,f,1,3.433566003,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????????????,????????????????????????,???,??????,??????,?????????,??????,f,??????,12,1,41,0,2,2,8,space,0.383753285,space,0.849787771,space,0.550765015,space,3.41720742,None,,space,0.817116394,space,2.133617989,f,1,2.400183709,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,12,0,3,3,3,space,0.367111282,space,0.450467741,space,0.466748166,space,0.650193479,space,1.866871086,space,0.500439142,space,1.167117914,j,1,5.000612628,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
???????????????????????????????????????,??????????????????????,???,??????,??????,????????????,?????????,f,???,13,3,43,0,4,4,18,space,0.367128651,space,0.600394182,space,0.50045651,space,0.433747581,space,0.350437307,space,0.450445241,space,1.68395077,f,1,3.033797554,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
??€???????€€????€??€????????????????,??€???????€€????????????,???,?€????,?????????,??€???,????€?,f,????€€,12,1,43,0,5,5,10,space,0.333861225,space,0.333736489,space,0.533762225,space,0.917062355,space,3.633604371,space,0.500492826,space,1.267333084,f,1,1.250168848,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????????????,????????????????????????,???,?????????,??????,??????,??????,j,??????,12,1,44,0,6,6,11,space,0.333838725,space,0.400360945,space,0.36707694,space,0.400439892,space,3.750579174,space,0.517072855,None,,j,1,1.500482563,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????€????,?????????????€???????,???,??????,?€????,??????,??????,f,??????,11,2,11,0,7,7,2,space,0.300593799,space,0.600401682,space,0.467057638,space,2.217142999,space,2.267290847,space,0.317090144,space,0.467170927,f,1,7.667167058,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
?€????????????????????????????????????????,?€????????????????????,???,????????????,??????,?€????,?????????,f,??????,11,3,45,0,8,8,20,space,0.31704396,space,0.333791357,space,0.400442655,space,0.38376789,space,0.367080098,space,0.350378491,space,0.283802192,f,1,0.733677831,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????????????,????????????????????????,???,??????,??????,?????????,??????,f,??????,12,2,9,0,9,9,0,space,0.300460379,space,0.283733508,space,0.350339412,space,0.467111717,space,0.5003673,space,0.400349103,space,0.400415418,f,1,1.15044157,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????????????,????????????????????????,???,??????,?????????,??????,??????,f,??????,12,1,47,0,10,10,14,space,0.267128611,space,0.250511872,space,0.400373577,space,0.450466951,space,2.533781173,space,0.717104513,space,1.500447037,j,0,1.883771245,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
??????????????????????€?????€???????,?€?????????????????€????,???,????€?,?€???????,??????,??????,j,??????,12,1,48,0,11,11,15,space,0.367123914,space,0.317125276,space,2.050565477,space,1.150447885,space,0.66700798,space,0.500439537,space,0.917133407,j,1,2.516751936,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
??????????????????????????€????????????,???????????????????,???,??€??????,???,??????,?????????,j,?????????,13,3,42,0,12,12,17,space,0.350656384,space,0.300371958,space,0.567833725,space,0.583923889,space,0.483781745,space,0.500430063,space,0.517058645,j,1,0.882800988,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????????????,????????????????????????,???,?????????,??????,??????,??????,f,??????,12,1,45,0,13,13,12,space,0.283734693,space,0.26709348,space,0.517258775,space,0.300335248,space,2.167145151,space,0.583759285,space,2.233820528,j,0,9.283944297,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,16,0,14,14,7,space,0.351246512,None,,space,0.60028484,space,1.900526141,None,,space,0.567148466,None,,j,1,6.26684006,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????????????,??????????????????????,??????,???,?????????,??????,??????,j,??????,12,3,46,0,15,15,21,space,0.350562832,space,0.767086572,space,0.63380608,space,0.666999296,space,0.550537253,space,0.383498681,space,0.733640726,j,1,0.667088901,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
???????????€???????????????????????????,???????????€????????????,?????????,???,??????,?????????,??????,j,??€???,13,3,48,0,16,16,23,space,0.366776548,space,0.533623279,space,0.466858297,space,0.467110138,space,0.350456648,space,0.667045875,space,0.483709114,f,1,0.667021401,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,14,0,17,17,5,space,1.133799962,space,0.567094388,space,0.500411511,space,0.500299801,space,0.750439043,space,2.1336547,space,2.20051126,j,1,2.567278334,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
???????????????????????????????????????,??????????????????????,???,??????,??????,??????,?????????,f,?????????,13,3,41,0,18,18,16,space,0.283808903,space,0.5004048,space,0.650591766,space,0.750331281,space,2.700535931,space,0.500475852,space,0.467135006,f,1,10.65101097,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,10,0,19,19,1,space,0.334285564,space,0.333829646,space,0.550492648,space,0.433676529,space,2.01712121,space,0.533817488,space,1.683810245,j,1,3.083627246,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
???????????????????????????????????????,??????????????????????,??????,???,??????,?????????,????????????,f,?????????,13,3,47,0,20,20,22,space,0.383548812,space,0.667083375,space,0.483731614,space,1.066773271,space,0.367072993,space,1.13382562,space,0.833754844,f,1,2.067093006,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????€???????????????€????????????,????€????????????????,???,??€???,??????,????€?,??????,f,??????,11,2,13,0,21,21,4,space,0.300437484,space,0.566947547,space,0.80045505,None,,space,1.200420471,space,1.350463754,None,,f,1,2.333951224,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
???????????????????????????????????????,??????????????????????,??????,?????????,??????,??????,?????????,j,???,13,3,44,0,22,22,19,space,0.267241505,space,0.433769686,space,0.367131414,space,0.417017553,space,0.533689594,space,0.467193821,space,2.583908889,j,1,0.717000303,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
???????€?????????????????????????,???????€?????????????,???,??????,??????,??????,??????,j,?€????,11,1,42,0,23,23,9,space,0.433854554,space,0.633764239,space,0.567134651,space,0.617226841,space,0.667157979,space,0.617124999,space,2.73558124,f,0,7.718703582,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
????????????????????????????????????,?????????????????????,???,??????,?????????,??????,??????,j,??????,12,1,36,0,0,0,11,space,0.867228321,space,1.233903422,space,0.533834857,space,2.367265229,space,2.783450287,space,0.500540589,space,0.700366985,j,1,1.367539964,SPR,6,B,,f,59.64905382,1,2017_01_05_1305
