Sentences,Question,word5,word4,word6,word1,word3,Ans,word2,lenth,Type,ID,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,key_resp_12.keys,key_resp_12.rt,Atests1.keys,Atests1.rt,Atests2.keys,Atests2.rt,Atests3.keys,Atests3.rt,Atests4.keys,Atests4.rt,Atests5.keys,Atests5.rt,Atests6.keys,Atests6.rt,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,expName,participant,version,Grade,Gender,frameRate,session,date
????????????????????????????????????,?????????????????????,???,??????,??????,????????????,??????,f,???,12,3,5,0,0,0,20,space,0.350837962,space,0.317112249,space,0.317060934,space,0.237662478,space,0.26708598,space,0.250558056,space,0.200470602,f,1,1.500430458,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,????????????????????????,???,??????,??????,??????,??????,f,??????,11,2,39,0,1,1,14,space,0.267124269,space,0.250466872,space,0.233692634,space,0.250403715,space,0.250413978,space,0.300469063,space,0.317078697,j,0,3.583824021,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
??????????????????????????????????€????,?????????????????????,????€?,???,???,??????,?????????,f,????????????,13,3,3,0,2,2,18,space,0.300390511,space,0.233656713,space,0.267030717,space,0.283478905,space,0.317015934,space,0.333985566,space,0.317135539,j,1,3.516541148,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,38,0,3,3,13,space,0.333805962,space,0.266990059,space,0.283702719,space,0.500408747,space,0.800397024,space,0.483693325,space,0.333718331,j,1,2.767255913,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
???????€??????????????€?????????????,?????????????€???????,???,?€????,??????,??????,??????,f,?€???????,12,3,1,0,4,4,16,space,0.300380642,space,0.267495714,space,0.283724824,space,0.217043526,space,0.267072954,space,0.250334636,space,0.266976638,f,1,2.116887961,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,????????????????????????,???,??????,??????,??????,??????,j,??????,11,2,40,0,5,5,15,space,0.267020059,space,0.300424853,space,0.267060717,space,0.233771186,space,0.250404504,space,0.350477175,space,0.483760429,j,1,3.200425997,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,2,34,0,6,6,9,space,0.300428405,space,0.28375285,space,0.250282136,space,0.283743377,space,0.417025842,space,0.317116197,space,0.783893179,f,0,5.133726147,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,1,2,0,7,7,1,space,0.366778126,space,0.367013783,space,0.333872277,space,0.283955744,space,0.500702825,space,0.433786659,space,0.367124309,j,1,6.833819186,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
????????????????????????????????????,?????????????????????,???,??????,??????,????????????,?????? ,j,??? ,12,3,6,0,8,8,21,space,0.316998961,space,0.38363447,space,0.333791357,space,0.333767673,space,0.267089532,space,0.567092414,space,0.566983467,j,1,1.116538621,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
????????????????????????????????????,?????????????????????,???,??????,?????????,??????,??????,j,??????,12,2,36,0,9,9,11,space,0.267105322,space,0.30051722,space,0.283725219,space,0.26706348,space,0.666771929,space,0.834044579,space,2.367120361,j,1,4.267441241,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??????,11,1,6,0,10,10,5,space,0.283747719,space,0.333733726,space,0.366993651,space,0.567181229,space,0.467000796,space,0.400445418,space,0.433654818,j,1,0.933925803,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,?????????,??????,f,???,11,3,7,0,11,11,22,space,0.283801008,space,0.300408274,space,0.266872823,space,0.300423668,space,0.233707634,space,0.283439431,space,0.33374912,f,1,1.017073842,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,f,??????,11,1,5,0,12,12,4,space,0.283761929,space,0.283691667,space,0.30053972,space,0.266811639,space,0.350468491,space,0.500416247,space,2.600475497,f,1,2.184012941,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
???????€????????????????????????????,?????????????????????,???,??????,??????,???????€?,???,j,?????????,12,3,2,0,13,13,17,space,0.28382114,space,0.28356772,space,0.367359965,space,0.233872633,space,0.2834343,space,0.250542266,space,0.250512267,j,1,1.000441313,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?€?????€??????????????€?????????????,?€???????????????????,???,????€????,??????,?€????,??????,j,?€????,12,3,4,0,14,14,19,space,0.350413228,space,0.217095631,space,0.250127795,space,0.233740002,space,0.28365693,space,0.333353596,space,0.400392919,j,1,1.400568575,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
????????€????????????????????????,?????????????????????,???,??????,??????,??????,??????,j,??€???,11,1,8,0,15,15,7,space,0.283771008,space,0.233701318,space,0.26710769,space,0.267016901,space,0.333814646,space,1.367260492,space,0.633434635,j,1,0.83372287,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,f,??????,11,2,35,0,16,16,10,space,0.217102736,space,0.3004438,space,0.283647851,space,0.267018875,space,0.400415813,space,1.36751628,space,0.733635989,f,1,1.033687818,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
?????????????????????????????????,?????????????????????,???,??????,??????,??????,??????,f,??????,11,1,7,0,17,17,6,space,0.267150716,space,0.267061112,space,0.183664785,space,0.350399807,space,0.367185492,space,0.950380702,space,0.933719752,j,0,1.733676647,SPR,3,A,,m,59.54544386,1,2017_01_05_1128
